id,partner_id:id,skill_id:id,skill_type_id:id,skill_level_id:id
partner_skill_admin_spark,partner.partner_admin,partner_skill_spark,partner_skill_type_dev,partner_skill_level_intermediate
partner_skill_admin_flute,partner.partner_admin,partner_skill_flute,partner_skill_type_music,partner_skill_level_l2
partner_skill_admin_singing,partner.partner_admin,partner_skill_singing,partner_skill_type_music,partner_skill_level_l1
partner_skill_admin_violin,partner.partner_admin,partner_skill_violin,partner_skill_type_music,partner_skill_level_l2
partner_skill_admin_piano,partner.partner_admin,partner_skill_piano,partner_skill_type_music,partner_skill_level_l2
partner_skill_al_analytics,partner.partner_al,partner_skill_analytics,partner_skill_type_marketing,partner_skill_level_ml3
partner_skill_al_digital_ad,partner.partner_al,partner_skill_digital_ad,partner_skill_type_marketing,partner_skill_level_ml1
partner_skill_al_public,partner.partner_al,partner_skill_public,partner_skill_type_marketing,partner_skill_level_ml1
partner_skill_al_com,partner.partner_al,partner_skill_com,partner_skill_type_marketing,partner_skill_level_ml1
partner_skill_al_french,partner.partner_al,partner_skill_french,partner_skill_type_lang,partner_skill_level_c1
partner_skill_al_nosql,partner.partner_al,partner_skill_nosql,partner_skill_type_dev,partner_skill_level_beginner
partner_skill_al_django,partner.partner_al,partner_skill_django,partner_skill_type_dev,partner_skill_level_advanced
partner_skill_al_python,partner.partner_al,partner_skill_python,partner_skill_type_dev,partner_skill_level_advanced
partner_skill_mit_piano,partner.partner_mit,partner_skill_piano,partner_skill_type_music,partner_skill_level_l3
partner_skill_mit_singing,partner.partner_mit,partner_skill_singing,partner_skill_type_music,partner_skill_level_l2
partner_skill_mit_violin,partner.partner_mit,partner_skill_violin,partner_skill_type_music,partner_skill_level_l4
partner_skill_mit_flute,partner.partner_mit,partner_skill_flute,partner_skill_type_music,partner_skill_level_l2
partner_skill_mit_email,partner.partner_mit,partner_skill_email,partner_skill_type_marketing,partner_skill_level_ml2
partner_skill_mit_public,partner.partner_mit,partner_skill_public,partner_skill_type_marketing,partner_skill_level_ml3
partner_skill_mit_cms,partner.partner_mit,partner_skill_cms,partner_skill_type_marketing,partner_skill_level_ml1
partner_skill_mit_com,partner.partner_mit,partner_skill_com,partner_skill_type_marketing,partner_skill_level_ml1
partner_skill_mit_js,partner.partner_mit,partner_skill_js,partner_skill_type_dev,partner_skill_level_elementary
partner_skill_niv_email,partner.partner_niv,partner_skill_email,partner_skill_type_marketing,partner_skill_level_ml1
partner_skill_niv_public,partner.partner_niv,partner_skill_public,partner_skill_type_marketing,partner_skill_level_ml4
partner_skill_niv_c,partner.partner_niv,partner_skill_c,partner_skill_type_dev,partner_skill_level_expert
partner_skill_niv_android,partner.partner_niv,partner_skill_android,partner_skill_type_dev,partner_skill_level_intermediate
partner_skill_niv_nosql,partner.partner_niv,partner_skill_nosql,partner_skill_type_dev,partner_skill_level_beginner
partner_skill_niv_flute,partner.partner_niv,partner_skill_flute,partner_skill_type_music,partner_skill_level_l4
partner_skill_niv_singing,partner.partner_niv,partner_skill_singing,partner_skill_type_music,partner_skill_level_l4
partner_skill_stw_com,partner.partner_stw,partner_skill_com,partner_skill_type_marketing,partner_skill_level_ml4
partner_skill_stw_digital_ad,partner.partner_stw,partner_skill_digital_ad,partner_skill_type_marketing,partner_skill_level_ml2
partner_skill_chs_digital_ad,partner.partner_chs,partner_skill_digital_ad,partner_skill_type_marketing,partner_skill_level_ml3
partner_skill_chs_email,partner.partner_chs,partner_skill_email,partner_skill_type_marketing,partner_skill_level_ml3
partner_skill_chs_arabic,partner.partner_chs,partner_skill_arabic,partner_skill_type_lang,partner_skill_level_c1
partner_skill_chs_piano,partner.partner_chs,partner_skill_piano,partner_skill_type_music,partner_skill_level_l4
partner_skill_qdp_com,partner.partner_qdp,partner_skill_com,partner_skill_type_marketing,partner_skill_level_ml4
partner_skill_qdp_email,partner.partner_qdp,partner_skill_email,partner_skill_type_marketing,partner_skill_level_ml4
partner_skill_qdp_analytics,partner.partner_qdp,partner_skill_analytics,partner_skill_type_marketing,partner_skill_level_ml2
partner_skill_qdp_nosql,partner.partner_qdp,partner_skill_nosql,partner_skill_type_dev,partner_skill_level_advanced
partner_skill_qdp_js,partner.partner_qdp,partner_skill_js,partner_skill_type_dev,partner_skill_level_expert
partner_skill_qdp_flute,partner.partner_qdp,partner_skill_flute,partner_skill_type_music,partner_skill_level_l1
partner_skill_qdp_violin,partner.partner_qdp,partner_skill_violin,partner_skill_type_music,partner_skill_level_l4
partner_skill_qdp_singing,partner.partner_qdp,partner_skill_singing,partner_skill_type_music,partner_skill_level_l4
partner_skill_qdp_bengali,partner.partner_qdp,partner_skill_bengali,partner_skill_type_lang,partner_skill_level_b2
partner_skill_qdp_english,partner.partner_qdp,partner_skill_english,partner_skill_type_lang,partner_skill_level_b1
partner_skill_fme_spark,partner.partner_fme,partner_skill_spark,partner_skill_type_dev,partner_skill_level_beginner
partner_skill_fme_com,partner.partner_fme,partner_skill_com,partner_skill_type_marketing,partner_skill_level_ml2
partner_skill_fpi_django,partner.partner_fpi,partner_skill_django,partner_skill_type_dev,partner_skill_level_expert
partner_skill_fpi_violin,partner.partner_fpi,partner_skill_violin,partner_skill_type_music,partner_skill_level_l1
partner_skill_fpi_piano,partner.partner_fpi,partner_skill_piano,partner_skill_type_music,partner_skill_level_l1
partner_skill_fpi_singing,partner.partner_fpi,partner_skill_singing,partner_skill_type_music,partner_skill_level_l4
partner_skill_fpi_flute,partner.partner_fpi,partner_skill_flute,partner_skill_type_music,partner_skill_level_l2
partner_skill_fpi_cms,partner.partner_fpi,partner_skill_cms,partner_skill_type_marketing,partner_skill_level_ml1
partner_skill_jth_hadoop,partner.partner_jth,partner_skill_hadoop,partner_skill_type_dev,partner_skill_level_expert
partner_skill_jth_nosql,partner.partner_jth,partner_skill_nosql,partner_skill_type_dev,partner_skill_level_elementary
partner_skill_jth_c,partner.partner_jth,partner_skill_c,partner_skill_type_dev,partner_skill_level_intermediate
partner_skill_ngh_violin,partner.partner_ngh,partner_skill_violin,partner_skill_type_music,partner_skill_level_l4
partner_skill_ngh_piano,partner.partner_ngh,partner_skill_piano,partner_skill_type_music,partner_skill_level_l1
partner_skill_ngh_flute,partner.partner_ngh,partner_skill_flute,partner_skill_type_music,partner_skill_level_l4
partner_skill_vad_sql,partner.partner_vad,partner_skill_sql,partner_skill_type_dev,partner_skill_level_intermediate
partner_skill_vad_js,partner.partner_vad,partner_skill_js,partner_skill_type_dev,partner_skill_level_elementary
partner_skill_vad_spark,partner.partner_vad,partner_skill_spark,partner_skill_type_dev,partner_skill_level_expert
partner_skill_vad_python,partner.partner_vad,partner_skill_python,partner_skill_type_dev,partner_skill_level_expert
partner_skill_vad_french,partner.partner_vad,partner_skill_french,partner_skill_type_lang,partner_skill_level_a2
partner_skill_vad_singing,partner.partner_vad,partner_skill_singing,partner_skill_type_music,partner_skill_level_l2
partner_skill_vad_public,partner.partner_vad,partner_skill_public,partner_skill_type_marketing,partner_skill_level_ml1
partner_skill_vad_cms,partner.partner_vad,partner_skill_cms,partner_skill_type_marketing,partner_skill_level_ml3
partner_skill_vad_analytics,partner.partner_vad,partner_skill_analytics,partner_skill_type_marketing,partner_skill_level_ml1
partner_skill_vad_digital_ad,partner.partner_vad,partner_skill_digital_ad,partner_skill_type_marketing,partner_skill_level_ml3
partner_skill_han_bengali,partner.partner_han,partner_skill_bengali,partner_skill_type_lang,partner_skill_level_b2
partner_skill_han_python,partner.partner_han,partner_skill_python,partner_skill_type_dev,partner_skill_level_advanced
partner_skill_han_react,partner.partner_han,partner_skill_react,partner_skill_type_dev,partner_skill_level_advanced
partner_skill_han_analytics,partner.partner_han,partner_skill_analytics,partner_skill_type_marketing,partner_skill_level_ml1
partner_skill_han_digital_ad,partner.partner_han,partner_skill_digital_ad,partner_skill_type_marketing,partner_skill_level_ml4
partner_skill_han_violin,partner.partner_han,partner_skill_violin,partner_skill_type_music,partner_skill_level_l1
partner_skill_han_flute,partner.partner_han,partner_skill_flute,partner_skill_type_music,partner_skill_level_l1
partner_skill_han_piano,partner.partner_han,partner_skill_piano,partner_skill_type_music,partner_skill_level_l3
partner_skill_jve_cms,partner.partner_jve,partner_skill_cms,partner_skill_type_marketing,partner_skill_level_ml1
partner_skill_jve_email,partner.partner_jve,partner_skill_email,partner_skill_type_marketing,partner_skill_level_ml1
partner_skill_jve_digital_ad,partner.partner_jve,partner_skill_digital_ad,partner_skill_type_marketing,partner_skill_level_ml1
partner_skill_jve_com,partner.partner_jve,partner_skill_com,partner_skill_type_marketing,partner_skill_level_ml4
partner_skill_jve_violin,partner.partner_jve,partner_skill_violin,partner_skill_type_music,partner_skill_level_l2
partner_skill_jve_singing,partner.partner_jve,partner_skill_singing,partner_skill_type_music,partner_skill_level_l3
partner_skill_jve_flute,partner.partner_jve,partner_skill_flute,partner_skill_type_music,partner_skill_level_l4
partner_skill_jve_piano,partner.partner_jve,partner_skill_piano,partner_skill_type_music,partner_skill_level_l3
partner_skill_jve_french,partner.partner_jve,partner_skill_french,partner_skill_type_lang,partner_skill_level_b1
partner_skill_jve_spark,partner.partner_jve,partner_skill_spark,partner_skill_type_dev,partner_skill_level_expert
partner_skill_jve_c,partner.partner_jve,partner_skill_c,partner_skill_type_dev,partner_skill_level_elementary
partner_skill_jve_js,partner.partner_jve,partner_skill_js,partner_skill_type_dev,partner_skill_level_expert
partner_skill_jve_hadoop,partner.partner_jve,partner_skill_hadoop,partner_skill_type_dev,partner_skill_level_advanced
partner_skill_jep_piano,partner.partner_jep,partner_skill_piano,partner_skill_type_music,partner_skill_level_l1
partner_skill_jep_flute,partner.partner_jep,partner_skill_flute,partner_skill_type_music,partner_skill_level_l4
partner_skill_jep_singing,partner.partner_jep,partner_skill_singing,partner_skill_type_music,partner_skill_level_l4
partner_skill_jep_violin,partner.partner_jep,partner_skill_violin,partner_skill_type_music,partner_skill_level_l4
partner_skill_jod_singing,partner.partner_jod,partner_skill_singing,partner_skill_type_music,partner_skill_level_l4
partner_skill_jod_violin,partner.partner_jod,partner_skill_violin,partner_skill_type_music,partner_skill_level_l4
partner_skill_jod_filipino,partner.partner_jod,partner_skill_filipino,partner_skill_type_lang,partner_skill_level_c1
partner_skill_jod_spark,partner.partner_jod,partner_skill_spark,partner_skill_type_dev,partner_skill_level_advanced
partner_skill_jod_sql,partner.partner_jod,partner_skill_sql,partner_skill_type_dev,partner_skill_level_expert
partner_skill_jod_analytics,partner.partner_jod,partner_skill_analytics,partner_skill_type_marketing,partner_skill_level_ml1
partner_skill_jod_public,partner.partner_jod,partner_skill_public,partner_skill_type_marketing,partner_skill_level_ml2
partner_skill_jog_violin,partner.partner_jog,partner_skill_violin,partner_skill_type_music,partner_skill_level_l4
partner_skill_jog_singing,partner.partner_jog,partner_skill_singing,partner_skill_type_music,partner_skill_level_l1
partner_skill_jog_public,partner.partner_jog,partner_skill_public,partner_skill_type_marketing,partner_skill_level_ml1
partner_skill_jog_cms,partner.partner_jog,partner_skill_cms,partner_skill_type_marketing,partner_skill_level_ml1
partner_skill_jog_filipino,partner.partner_jog,partner_skill_filipino,partner_skill_type_lang,partner_skill_level_c1
partner_skill_jog_german,partner.partner_jog,partner_skill_german,partner_skill_type_lang,partner_skill_level_c1
partner_skill_jog_bengali,partner.partner_jog,partner_skill_bengali,partner_skill_type_lang,partner_skill_level_a1
partner_skill_jog_django,partner.partner_jog,partner_skill_django,partner_skill_type_dev,partner_skill_level_elementary
partner_skill_jog_react,partner.partner_jog,partner_skill_react,partner_skill_type_dev,partner_skill_level_beginner
partner_skill_jgo_digital_ad,partner.partner_jgo,partner_skill_digital_ad,partner_skill_type_marketing,partner_skill_level_ml3
partner_skill_jgo_public,partner.partner_jgo,partner_skill_public,partner_skill_type_marketing,partner_skill_level_ml2
partner_skill_jgo_analytics,partner.partner_jgo,partner_skill_analytics,partner_skill_type_marketing,partner_skill_level_ml1
partner_skill_jgo_com,partner.partner_jgo,partner_skill_com,partner_skill_type_marketing,partner_skill_level_ml1
partner_skill_lur_english,partner.partner_lur,partner_skill_english,partner_skill_type_lang,partner_skill_level_c2
partner_skill_lur_french,partner.partner_lur,partner_skill_french,partner_skill_type_lang,partner_skill_level_a1
partner_skill_lur_singing,partner.partner_lur,partner_skill_singing,partner_skill_type_music,partner_skill_level_l3
partner_skill_hne_spanish,partner.partner_hne,partner_skill_spanish,partner_skill_type_lang,partner_skill_level_c1
partner_skill_hne_cms,partner.partner_hne,partner_skill_cms,partner_skill_type_marketing,partner_skill_level_ml4
partner_skill_hne_public,partner.partner_hne,partner_skill_public,partner_skill_type_marketing,partner_skill_level_ml3
partner_skill_hne_com,partner.partner_hne,partner_skill_com,partner_skill_type_marketing,partner_skill_level_ml4
partner_skill_hne_digital_ad,partner.partner_hne,partner_skill_digital_ad,partner_skill_type_marketing,partner_skill_level_ml3
partner_skill_hne_singing,partner.partner_hne,partner_skill_singing,partner_skill_type_music,partner_skill_level_l2
partner_skill_hne_flute,partner.partner_hne,partner_skill_flute,partner_skill_type_music,partner_skill_level_l3
partner_skill_hne_piano,partner.partner_hne,partner_skill_piano,partner_skill_type_music,partner_skill_level_l4
partner_skill_hne_sql,partner.partner_hne,partner_skill_sql,partner_skill_type_dev,partner_skill_level_expert
